# time count sctc cycr utrms itrms udc idc ucf icf uff iff p pf freq
1343641646.41 10267.0 434503856.0 0.500197 234.835 0.0 -0.0557327 0.0 1.38918 9.91e+37 1.11142 9.91e+37 0.0 9.91e+37 49.9803
1343641646.93 10268.0 434553545.0 0.500217 234.904 0.0 -0.0558853 0.0 1.38905 9.91e+37 1.11147 9.91e+37 0.0 9.91e+37 49.9794
1343641647.4 10269.0 434603234.0 0.500207 234.894 0.0 -0.0604019 0.0 1.38922 9.91e+37 1.11164 9.91e+37 0.0 9.91e+37 49.9792
1343641647.9 10270.0 434652923.0 0.500217 234.915 0.0 -0.0591507 0.0 1.38855 9.91e+37 1.11174 9.91e+37 0.0 9.91e+37 49.9784
1343641648.4 10271.0 434702612.0 0.500197 235.004 0.0 -0.0453034 0.0 1.38945 9.91e+37 1.1114 9.91e+37 0.0 9.91e+37 49.9795
1343641648.91 10272.0 434752301.0 0.500217 235.092 0.0 -0.0202332 0.0 1.38959 9.91e+37 1.1109 9.91e+37 0.0 9.91e+37 49.9793
1343641649.41 10273.0 434801990.0 0.500197 235.073 0.0 -0.0231476 0.0 1.38954 9.91e+37 1.1108 9.91e+37 0.0 9.91e+37 49.9796
1343641649.9 10274.0 434851679.0 0.500207 235.028 0.0 -0.0264206 0.0 1.38969 9.91e+37 1.11085 9.91e+37 0.0 9.91e+37 49.9795
1343641650.41 10275.0 434901368.0 0.500207 234.999 0.0 -0.0280533 0.0 1.38965 9.91e+37 1.11078 9.91e+37 0.0 9.91e+37 49.9794
